Company_name,Trading_name,Last Trading Price,Closing Price,Last Update,Day's Range,Change*,Day's Value (mn),Change Percentage,52 Weeks' Moving Range,Opening Price,Day's Volume (Nos.),Adjusted Opening Price,Day's Trade (Nos.),Yesterday's Closing Price,Market Capitalization (mn),Authorized Capital (mn),Debut Trading Date,Paid-up Capital (mn),Type of Instrument,Face/par Value,Market Lot,Total No. of Outstanding Securities,Sector,Address,Contact Phone,Fax,E-mail,Web Address,Company Secretary Name,Cell No.,Telephone No.,E-mail
Green Delta Insurance Ltd.,GREENDELT,65.00,64.70,3:45 PM,61.90 - 65.00,1.9,2.04,3.01%,61.90 - 128.50,63.10,"32,387.00",63.10,101,63.10,"6,321.875","5,000.00",,"1,001.88",Equity,10.0,1,"100,188,194",Insurance,"Green Delta AIMS Tower (6th Floor) 51-52, Mohakhali C/A, Dhaka-1212","(880-2) 222263902, 222261170, 222281171, EXT: 246",+(880-2) 985-1124,share@green-delta.com,http://www.green-delta.com,Md. Oliullah Khan FCS,01730029747,"8802 222263902, 222261170, 222281171 Ext-246",oli@green-delta.com
GSP Finance Company (Bangladesh) Limited,GSPFINANCE,32.50,32.50,3:45 PM,31.20 - 32.60,0.7,35.66,2.20%,20.50 - 34.70,31.80,"1,106,426.00",31.80,323,31.80,"4,994.781","2,000.00",,"1,570.69",Equity,10.0,1,"157,068,585",Financial Institutions,"1, Paribagh, Mymensingh Road, Ramna, Dhakaâ€ 1000.",+8802 223360506,+8802 223360194,secretariat@gspfinance.com,http://www.gspfinance.com,Md. Mizanur Rahman,01768-729301,880-2 9674306 Ext-288,mizannt@yahoo.com
Hakkani Pulp & Paper Mills Ltd.,HAKKANIPUL,60.00,59.50,3:45 PM,58.80 - 60.40,0,8.24,0.00%,46.90 - 97.30,58.90,"139,615.00",60.00,418,60.00,"1,140.000",500.00,,190.00,Equity,10.0,1,"19,000,000",Paper & Printing,"2/10 D.T.Road. North Pahartali,  Chittagong and Flat#B-3, Topkhana Road, Purana Paltan, Dhaka-1000(Share Office)","01714-87508, +88-02-43151463,+88-02-43151464-65 (PABX), FAX-'+88-02-43152344",+88-02-43152344,companysecretary@hakkanigroup.com,http://www.hakkanigroup.com,Mohammad Musa,01714-087510,"+88-02-43151463-EXT-126,",companysecretary@hakkanigroup.com
Heidelberg Cement Bangladesh Ltd.,HEIDELBCEM,180.90,180.90,3:45 PM,180.90 - 180.90,-3.6,1.33,-1.95%,180.90 - 379.00,180.90,"7,357.00",184.50,54,184.50,"10,424.912","1,000.00",,565.04,Equity,10.0,1,"56,503,590",Cement,"\""Symphony\"" (6th & 7th Floor), Plot্# SE(F)9, Road# 142, Gulshan Avenue (South), Gulshan-1, Dhaka-1212.","02-8815602, '02-58814700 (Ext.:304 & 305)",02-58812584,info.heidelbergcementbd.com,http://www.heidelbergcementbd.com,Md. Emdadul Haque,01730 337 871,"880-02-58811691, Ext.:301",md.emdadul.haque@heidelbergcement.com
Hamid Fabrics Limited,HFL,22.70,22.70,3:45 PM,21.50 - 22.90,0.9,27.36,4.13%,16.20 - 38.50,22.00,"1,228,242.00",21.80,896,21.80,"1,985.049","2,000.00","04 Dec, 2014",910.57,Equity,10.0,1,"91,057,312",Textile,"Hamid Tower (6th Floor)rn24, Gulshan C/A, Circle-2, Dhaka-1212, Bangladesh","8802-883 45 64-65, 883 41 04, 989 45 89; Ext. 401, 402",8802-5881 3077,info@mahingroup.com,http://www.mahingroup.com,ASM Mijanur Rahman,01755 630 983,"8802-883 45 64-65, Ext. - 401",mijan_hfl@mahingroup.com
H.R.Textile Ltd.,HRTEX,122.70,122.70,3:45 PM,121.90 - 123.90,-1.5,106.12,-1.21%,51.00 - 125.90,121.90,"864,094.00",124.20,654,124.20,"3,299.373","1,000.00",,265.65,Equity,10.0,1,"26,565,000",Textile,"Pride Hamza (5th floor), House # 54, Road # 01, Sector # 06, Uttara, Dhaka-1230.",01990409190,8802-222299147,hrtex_cs@pride-grp.com,http://www.pride-grp.com/hrt,Md. Wali Ullah,(+88) 01990409011,,waliullah_cs@pride-grp.com
Hwa Well Textiles (BD) Limited,HWAWELLTEX,45.50,44.80,3:45 PM,44.00 - 45.50,0.7,0.40,1.56%,39.70 - 52.50,44.00,"8,918.00",44.80,28,44.80,"2,508.800","1,000.00","14 May, 2014",560.00,Equity,10.0,1,"56,000,000",Textile,"Alamin Icon Center, Flat # A7, Level # 7, House # 57/4, Pragati Sarani, Kuril Bishwa Road, Dhaka - 1212.","880-2-8412935, 8412936",880-2-8412937,share@hwawelltex.com,http://www.hwawelltex.com,Devabrata Saha,01841041441,880-2-8412937,devabrata@hwawelltex.com
IBBL 2nd Perpetual Mudaraba Bond,IBBL2PBOND,"5,000.00","5,000.00",3:45 PM,"5,000.00 - 5,000.00",-50,0.01,-0.99%,"4,600.00 - 5,260.00","5,000.00",1.00,"5,050.00",1,"5,050.00",808.000,-,"23 Dec, 2021",800.00,Corporate Bond,5000.0,1,"160,000",Corporate Bond,,,,-,,,,,
IBBL Mudaraba Perpetual Bond,IBBLPBOND,"1,058.00","1,051.00",3:45 PM,"1,049.00 - 1,058.00",0,0.01,0.00%,"965.50 - 1,123.50","1,049.00",13.00,"1,058.00",3,"1,058.00","3,174.000",-,,"3,000.00",Corporate Bond,1000.0,1,"3,000,000",Corporate Bond,"Head Office, Islami Bank Tower,40, Dilkusha Commercial Area, Dhaka-1000.","9563040, 9567161 - 7, 9560099","880 - 02 - 9564532, 9568634",www.islamibankbd.com,http://www.islamibankbd.com,,,,
The IBN SINA  Pharmaceutical Industry Ltd.,IBNSINA,285.00,288.70,3:45 PM,283.10 - 289.00,0.4,5.10,0.14%,251.10 - 307.00,283.10,"17,829.00",284.60,106,284.60,"8,891.936",500.00,,312.44,Equity,10.0,1,"31,243,627",Pharmaceuticals & Chemicals,"Tanin Center, Plot-3, Asad Gate, Mirpur Road, Mohammadpur, Dhaka-1207",02-41022151-8,880-2-9118847,shareipi@ibnsinapharma.com,http://www.ibnsinapharma.com,Md. Kabir Hossain,01713 094075,02-41022151-8,cs@ibnsinapharma.com
Indo-Bangla Pharmaceuticals Limited,IBP,17.40,17.40,3:45 PM,16.70 - 17.50,0.4,6.71,2.35%,16.40 - 27.90,16.70,"395,725.00",17.00,268,17.00,"1,933.531","1,500.00","18 Oct, 2018","1,137.37",Equity,10.0,1,"113,737,140",Pharmaceuticals & Chemicals,"Plot # 183 (7th floor), Road # 04, Block # B, Ahmed Akbar Sobhan Road, Bashundhara R/A, Baridhara, Dhaka-1229","09678777995, 0431-61028, 0431-2174977",,info@indo-banglapharma.com,http://www.indo-banglapharma.com,Mohi Uddin,1777685176,9678777995,mahfuzdk85@yahoo.com
Investment Corporation Of Bangladesh,ICB,92.30,92.30,3:45 PM,91.80 - 93.60,-1.3,5.59,-1.39%,91.80 - 174.00,93.60,"60,678.00",93.60,341,93.60,"75,424.333","10,000.00",,"8,058.16",Equity,10.0,1,"805,815,527",Financial Institutions,"BDBL Building (Level 14-17),  8, Rajuk Avenue (Level 14-21), Motijheel C/A, Dhaka -1000","02223358158, 09666777778 Ext-1414.",88-02-223383313,icb@agni.com,http://www.icb.gov.bd,Mrs. Ruksana Yasmin,01674904507,02223353319,dgm_secretary@icb.gov.bd
ICB AMCL Third NRB Mutual Fund,ICB3RDNRB,6.50,6.50,3:45 PM,6.50 - 6.70,-0.1,2.72,-1.52%,6.00 - 8.00,6.60,"417,454.00",6.60,160,6.60,660.000,-,,"1,000.00",Mutual Fund,10.0,1,"100,000,000",Mutual Funds,"Green City Edge Building (4th floor)rn89, Kakrail, Dhaka- 1000.",+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,,,,
ICB AMCL First Agrani Bank Mutual Fund,ICBAGRANI1,9.30,9.30,3:45 PM,9.30 - 9.30,-0.1,0.49,-1.06%,8.40 - 10.20,9.30,"52,674.00",9.40,22,9.40,922.619,-,"08 Oct, 2017",982.00,Mutual Fund,10.0,1,"98,151,000",Mutual Funds,"Green City Edge Building (4th floor)rn89, Kakrail, Dhaka- 1000.",Phone: +88-02-8300412,Fax: +88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,,,,
ICB AMCL Second Mutual Fund,ICBAMCL2ND,8.70,8.70,3:45 PM,8.60 - 8.80,0,0.65,0.00%,8.10 - 15.30,8.60,"75,152.00",8.70,41,8.70,435.000,-,,500.00,Mutual Fund,10.0,1,"50,000,000",Mutual Funds,"Green City Edge (4th floor)rn89, Kakrail, Dhaka- 1000.",+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,,,,
ICB Employees Provident MF 1,ICBEPMF1S1,7.20,7.20,3:45 PM,7.10 - 7.20,0.1,0.15,1.41%,6.60 - 8.80,7.10,"20,409.00",7.10,24,7.10,532.500,-,,750.00,Mutual Fund,10.0,1,"75,000,000",Mutual Funds,"Green City Edge (4th floor)rn89, Kakrail, Dhaka- 1000.",+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,,,,
ICB Islamic Bank Limited,ICBIBANK,5.60,5.60,3:45 PM,5.50 - 5.70,0,18.33,0.00%,3.80 - 7.40,5.60,"3,312,832.00",5.60,468,5.60,"3,722.333","15,000.00",,"6,647.02",Equity,10.0,1,"664,702,300",Bank,"T.K. Bhaban (15th Floor), 13, Karwan Bazar, Dhaka - 1215","55012061-65, 55012079",55012060,ds.board@icbislamic-bd.com,http://www.icbislamic-bd.com,"Uttam Kumar Dey, FCS",01847090781,55012061-65 Ext. 110,ds.board@icbislamic-bd.com
ICB AMCL Sonali Bank Limited 1st Mutual Fund,ICBSONALI1,8.00,7.90,3:45 PM,7.90 - 8.00,0.1,0.00,1.27%,7.40 - 9.80,7.90,102.00,7.90,4,7.90,790.000,-,"12 Jun, 2013","1,000.00",Mutual Fund,10.0,1,"100,000,000",Mutual Funds,"ICB Asset Management Company Limited, rnGreen City Edge(4th floor)rn89, Kakrail, Dhaka- 1000.",+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,,,,
IDLC Finance Ltd.,IDLC,46.10,46.10,3:45 PM,45.00 - 46.70,0.3,5.18,0.66%,45.00 - 75.40,45.10,"113,867.00",45.80,190,45.80,"19,038.991","10,000.00",,"4,156.98",Equity,10.0,1,"415,698,485",Financial Institutions,"Bay’s Galleria (1st Floor), 57 Gulshan Avenue, Dhaka 1212",+880 (2) 883 4990 (Auto Hunting),+880 (2) 883 4377,companysecretary@idlc.com,http://www.idlc.com,Abul Fazal Mohamed Rubayat ACS,01730374531,+880 (2) 883 4990 ext. 144 (Auto Hunting),mrubayat@idlc.com
IFAD Autos Limited,IFADAUTOS,47.00,47.00,3:45 PM,45.40 - 49.70,0.7,11.50,1.51%,43.10 - 68.40,47.00,"241,413.00",46.30,337,46.30,"11,711.604","3,000.00","05 Feb, 2015","2,529.50",Equity,10.0,1,"252,950,412",Engineering,"Sonar Tori Tower (13th-18th Floor) 12, Bipanan C/A, Sonargaon Road, Dhaka-1000","01966670916, 09612114444, +88 02 9632753-7, +88 02 9632761-2","8870304,  9632764",contact@ifadautos.com,http://www.ifadautos.com,"Md. Sazzad Hossain Talukder, ACS",01966670915,"+88 02 9632753-7, +88 02 9632761-2, Ext-304",cs.ial@ifadgroup.com
IFIC Bank Ltd.,IFIC,11.50,11.50,3:45 PM,11.30 - 11.60,0,26.87,0.00%,10.70 - 21.80,11.30,"2,356,413.00",11.50,815,11.50,"20,537.976","40,000.00",,"17,859.10",Equity,10.0,1,"1,785,910,939",Bank,"IFIC Tower, 61, Purana Paltan, Dhaka - 1000",09666716250 (Hunting)  Ext.234,02-9554102,info@ificbankbd.com,http://www.ificbank.com.bd,Mr. Md. Mokammel Hoque,01711082129,"0966671625, Ext. 122",mokammel@ificbankbd.com
IFIC Bank 1st Mutual Fund,IFIC1STMF,5.30,5.30,3:45 PM,5.00 - 5.30,0.2,1.82,3.92%,5.00 - 7.90,5.20,"353,890.00",5.10,119,5.10,929.057,-,,"1,821.67",Mutual Fund,10.0,1,"182,167,965",Mutual Funds,"Sky View Henolux Center, Office No: D-6, 6th Floor, 3/1, Purana Paltan, Dhaka-1000","01302-399597, 01309-402782",88 02 9361530,info@racebd.com,http://www.racebd.com,,,,
IFIL Islamic Mutual Fund-1,IFILISLMF1,6.40,6.40,3:45 PM,6.40 - 6.40,0,0.08,0.00%,6.10 - 7.80,6.40,"12,950.00",6.40,12,6.40,640.000,-,,"1,000.00",Mutual Fund,10.0,1,"100,000,000",Mutual Funds,"ICB Asset Management Company Ltd.,rnGreen City Edge Building (4th floor)rn89, Kakrail, Dhaka- 1000.",+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,,,,
International Leasing & Financial Services Ltd.,ILFSL,5.80,5.80,3:45 PM,5.50 - 6.00,0.2,9.73,3.57%,5.00 - 11.20,5.90,"1,686,667.00",5.60,463,5.60,"1,242.137","3,000.00",,"2,218.10",Equity,10.0,1,"221,810,246",Financial Institutions,"DR Tower (13th Floor), 65/2/2, Bir Protik Gazi Golam Dostogir Road, Purana Paltan, Dhaka - 1000","+880-2-9559639, 9586671-75;",+880-2-9559640,info@ilfsl.com,http://www.ilfsl.com,Rahat Mahmud,01710059743,"+880-2-9559639, 9586671-75 (Extension: 157)",rahat@ilfsl.com
Imam Button Industries Ltd.,IMAMBUTTON,129.10,129.10,3:45 PM,129.10 - 129.10,-2.6,0.16,-1.97%,22.60 - 156.80,129.10,"1,248.00",131.70,11,131.70,"1,014.090",100.00,,77.00,Equity,10.0,1,"7,700,000",Pharmaceuticals & Chemicals,"Bhuiyan Mansion (6th Floor), 6, Motijheel C/A, Dhaka-1000.","9551837,  9558617",880 - 02 - 9564238,n/a,http://www.imambutton.com,,,,
Index Agro Industries Limited,INDEXAGRO,105.00,105.80,3:45 PM,103.20 - 106.70,0.1,8.92,0.10%,92.60 - 148.00,103.20,"85,156.00",104.90,343,104.90,"4,956.908","1,000.00","07 Apr, 2021",472.54,Equity,10.0,1,"47,253,649",Miscellaneous,"MF Tower (4th floor), GA-95/C, Middle Badda, Progati Sarani, Dhaka-1212.","02-58817175, 02-222296442",02-58814759,info@index-companies.com,http://www.index-agro.com,Abu Jafar Ali ACS,01844004026,,jafar@index-companies.com
Intech  Limited,INTECH,31.10,31.10,3:45 PM,30.90 - 31.50,-0.4,11.19,-1.27%,25.60 - 45.50,31.50,"360,797.00",31.50,251,31.50,986.619,"1,200.00",,313.21,Equity,10.0,1,"31,321,226",IT Sector,"Apartment # A (1st floor), Plot #11/B, Block -CWS (A), Road # 30, Gulshan-1, Dhaka-1212.",01322-894549-50,,info@intechworld.net,http://www.intechworld.net,Md. Emran Hossain Niloy,01322-894545,,cs@intechworld.net
Intraco Refueling Station Limited,INTRACO,29.20,29.20,3:45 PM,27.90 - 29.40,0.8,80.84,2.82%,17.70 - 32.50,28.00,"2,818,818.00",28.40,"1,304",28.40,"2,789.810","1,500.00","17 May, 2018",982.33,Equity,10.0,1,"98,232,750",Fuel & Power,"House # 40, Block-J, Pragati Sarani,rnBaridhara, Dhaka- 1212.","88-02-9881887,8833854",88 02 9849851,salahuddin@intracogroup.com,http://www.intracorefueling.com,G.M Salahuddin,01975006060,,salahuddin@intracogroup.com
IPDC Finance Limited,IPDC,57.50,57.50,3:45 PM,57.30 - 58.50,-0.9,98.74,-1.54%,28.80 - 64.90,57.30,"1,722,201.00",58.40,377,58.40,"21,671.746","8,000.00",,"3,710.92",Equity,10.0,1,"371,091,547",Financial Institutions,"Head Office, 106, Gulshan Avenue, Hosna Center (4th Floor),Dhaka-1212",+880255068931-36 Ext-154,+880255068928 +880255068930,csipdc@ipdcbd.com,http://www.ipdcbd.com,Samiul Hashim,01713463307,+880 55068931-36 Ext-112,samiul.hashim@ipdcbd.com
Islami Bank Bangladesh Limited,ISLAMIBANK,32.70,32.70,3:45 PM,32.50 - 32.70,0,1.99,0.00%,28.50 - 35.40,32.70,"61,133.00",32.70,93,32.70,"52,646.695","20,000.00",,"16,100.00",Equity,10.0,1,"1,609,990,668",Bank,"Islami Bank Tower, 40, Dilkusha C/A, Dhaka - 1000rnAndrn63, Dilkusha Commercial Arearn(5th Floor) Dhaka-1000 (Share Office)","(+88-02) 9551105, 9551062, 9550415, Ext-627, 624, 615, Direct: 9564595","(+88-02) 9564532, 9568634",info@islamibankbd.com,http://www.islamibankbd.com,"J Q M Habibullah, FCS",+88-01713046179,+88-02 9563040 (114) Direct: (+88-02) 9552639,Ibblbs@islamibankbd.com
Islamic Finance & Investment Ltd.,ISLAMICFIN,19.70,19.70,3:45 PM,19.40 - 20.70,0,5.68,0.00%,19.40 - 35.40,20.70,"290,533.00",19.70,248,19.70,"2,764.435","2,500.00",,"1,403.27",Equity,10.0,1,"140,326,670",Financial Institutions,"Head Office: Impetus Centre (3rd floor), 242/B, Tejgaon- Gulshan Link Road, Tejgaon I/A, Dhaka-1208",88 02 8878725-31,88 02 8878777,info@ifilbd.com,http://www.ifilbd.com,S.Q. Bazlur Rashid,01713018135,88 02 8878725-31 ext. 105,bazlur.rashid@ifilbd.com
Islami Insurance Bangladesh Limited,ISLAMIINS,41.50,40.20,3:45 PM,39.20 - 41.90,1.5,2.52,3.75%,39.20 - 79.60,39.20,"63,715.00",40.00,113,40.00,"1,646.609","1,000.00",,411.65,Equity,10.0,1,"41,165,215",Insurance,"DR Tower (11th Floor), 65/2/2 Purana Paltan (Box Culvert Road) Dhaka-1000.",880-2-55112831-33,+88029562213,islamiinsurance@gmail.com,http://www.islamiinsurance.com,Md. Mujibur Rahman,01727346971,880-2-55112837,islamiinsurance.cs@gmail.com
Information Services Network Ltd.,ISNLTD,55.10,55.10,3:45 PM,55.00 - 56.00,-1,13.33,-1.78%,30.00 - 64.20,55.00,"242,103.00",56.10,377,56.10,612.612,500.00,,109.20,Equity,10.0,1,"10,920,003",IT Sector,"TMC Building ( 4th Floor ), 52, New Eskaton, Dhaka - 1000",+880-2  - 48322785-8/ 09602000001,88-02- 9345460,info@bangla.net,http://www.bangla.net,Fakhrul Islam Bhuiyan,01714- 317138/01939-904381,9602000001 (127),secretary.isn@bangla.net.bd
IT Consultants Limited,ITC,33.60,33.60,3:45 PM,32.70 - 33.90,0.3,1.04,0.90%,30.60 - 47.40,33.00,"31,245.00",33.30,85,33.30,"4,282.136","2,000.00","10 Jan, 2016","1,285.93",Equity,10.0,1,"128,592,664",IT Sector,"Evergreen Plaza (3rd Floor), 260/B, Tejgaon I/A, Dhaka -1208","+88 02 9830310-13, +88 02 9830310-13, Ext-2070",+88 02 9830309,anindya@itcbd.com,http://www.itcbd.com,Anindya Sarkar,01730-799989,"+88 02-9830310-13, Ext-2070",anindya@itcbd.com
Jamuna Bank Ltd.,JAMUNABANK,21.30,21.20,3:45 PM,20.90 - 21.40,0,2.10,0.00%,19.10 - 26.40,21.00,"99,733.00",21.30,88,21.30,"15,958.506","10,000.00",,"7,492.26",Equity,10.0,1,"749,225,650",Bank,"Jamuna Bank Tower, Plot-14, Block-CWS(C), Bir Uttam AK Khandaker Road, Gulsan model town, Dhaka",+8809610005678 Ex 0119,,head.share@jamunabank.com.bd,http://www.jamunabankbd.com,Mr. M. A. rouf,+8801777743611,+8809610005678 Ex.0106,roufjbl71@yahoo.com
Jamuna Oil Company Limited,JAMUNAOIL,168.70,167.00,3:45 PM,165.10 - 169.80,0.9,1.15,0.54%,155.40 - 199.80,167.50,"6,855.00",167.80,50,167.80,"18,529.248","3,000.00",,"1,104.25",Equity,10.0,1,"110,424,600",Fuel & Power,"Jamuna Bhaban, Agrabad Commercial ArearnChattogram-4100","031-724384, 031-720181-3 031-2520134-92520408,",88-031-713289,joclbd@yahoo.com,http://www.jamunaoil.gov.bd,MD.Masudul Islam,01711-722500,031-724335 031-2520134-9 Ext-214,csjocl2013@gmail.com
Janata Insurance Company Ltd.,JANATAINS,29.50,29.10,3:45 PM,28.40 - 29.50,0.6,2.54,2.08%,28.40 - 64.60,28.60,"88,216.00",28.90,187,28.90,"1,283.103","1,000.00",,443.98,Equity,10.0,1,"44,398,012",Insurance,"Janata Insurance Bhaban, GA/95/D, Link Road,Middle Badda,Gulshan- 1, Dhaka- 1212.","02-222262181-82, Ext. 112",,share@jiclbd.com,http://www.jiclbd.com,Mr. Md. Imtiaz Bhuiyan,01741897767,222296183 02-222262181-82 Extn. 112,share@jiclbd.com
JMI Hospital Requisite Manufacturing Limited,JHRML,70.90,70.90,3:45 PM,70.00 - 71.80,-0.5,91.68,-0.70%,22.00 - 97.00,70.00,"1,298,567.00",71.40,"1,930",71.40,"8,946.000","3,000.00","31 Mar, 2022","1,252.94",Equity,10.0,1,"125,294,120",Miscellaneous,"Holdings # 72/C, Progoti Shoroni, Middle Badda, Dhaka-1212",+88-02-55138723-24,+88-02-55138725,cs@jhrml-bd.com,http://www.jhrml-bd.com,Md. Safiqur Rahaman FCS,01777742569,,cs@jhrml-bd.com
JMI Syringes & Medical Devices Ltd.,JMISMDL,295.90,295.00,3:45 PM,290.30 - 299.00,-0.3,5.70,-0.10%,290.30 - 429.80,299.00,"19,521.00",296.20,222,296.20,"6,546.020","1,000.00","19 Jun, 2013",221.00,Equity,10.0,1,"22,100,000",Pharmaceuticals & Chemicals,"Unique Heights, Level-11, 117 Kazi Nazrul Islam Avenue, Ramna, Dhaka- 1217rnAndrn29/C & 29/D, Tejgaon Industrial ArearnTejgaon, Dhaka-1208 (Share Office)","55138723, 55138724, '8170681-5","55138725, 8170686",info@jmisyringe.com,http://www.jmisyringe.com,Muhammad Tarek Hossain Khan,01777742344,"55138723, 55138724 Ext no. 307",tarek@jmigroup-bd.com
Jute Spinners Ltd.,JUTESPINN,156.00,155.40,3:45 PM,152.00 - 159.90,0.9,1.47,0.58%,94.50 - 192.00,159.90,"9,572.00",155.10,62,155.10,263.670,35.00,,17.00,Equity,10.0,1,"1,700,000",Jute,"House # 71, Road # 9/A (New), Dhanmondi R/A, Dhaka -1209","880-2-8129149, 8113202, 8130463",88 - 02 - 8111650,shams@dhaka.agni.com,,,,,
Karnaphuli Insurance Company Ltd.,KARNAPHULI,28.40,28.10,3:45 PM,27.80 - 28.40,0.1,3.56,0.35%,27.80 - 51.90,28.30,"127,331.00",28.30,196,28.30,"1,269.994",600.00,,448.76,Equity,10.0,1,"44,876,114",Insurance,"Meghna Life-Karnaphuli Bima Bhaban (13-14 floor), 11/B and D, Toyenbee Circular Road, Motijheel C/A,  Dhaka - 1000","0223384808, 0223384809",88-02-9555802,kiclshare@yahoo.com,http://www.kiclbd.com,Mrs. F. J. M. Hafiza Sultana,01911263981,9569043 (Direct),kiclshare@yahoo.com
Kay & Que (Bangladesh) Ltd.,KAY&QUE,247.90,245.30,3:45 PM,244.00 - 252.80,-1,2.34,-0.40%,219.00 - 348.90,252.80,"9,578.00",248.90,89,248.90,"1,281.252","1,000.00",,51.48,Equity,10.0,1,"5,147,657",Engineering,"Anchor Towerrnrn108, Bir Uttam C. R. Datta RoadrnrnDhaka-1205.",02-58610012-18. 02-58610027,+88 - 02 - 9662734,info@kayandque.com,http://www.kayandque.com,Mr. Sayed Ahmad,01313-093636,02-58610012-8 (Ext. 108),sayed.ahmad@multimodebd.com
Khan Brothers PP Woven Bag Industries Limited,KBPPWBIL,14.20,14.20,3:45 PM,13.60 - 14.40,0.4,11.17,2.90%,9.60 - 17.00,13.60,"801,409.00",13.80,427,13.80,"1,353.502","1,500.00","18 Nov, 2014",980.80,Equity,10.0,1,"98,079,877",Miscellaneous,"KBG Tower (7th & 8th Floor), 15 DIT Road, Malibagh Chowdhurypara,  Dhaka-1219.","8332069, 8332108, 8355726",8332576,info@kbgbd.com,http://www.kbgbd.com,Tapan Kumar Sarker,01611524105,"8332069, 8332108, 8355726       Ext-110",tkumar30@gmail.com
KDS Accessories Limited,KDSALTD,78.80,78.80,3:45 PM,72.70 - 79.80,5,233.33,6.78%,48.20 - 84.40,74.00,"3,024,348.00",73.80,"3,542",73.80,"5,253.258","2,000.00","15 Oct, 2015",711.82,Equity,10.0,1,"71,182,361",Engineering,"191-192, Baizid Bostami Road,rnNasirabad I/A, Chattogram- 4210.","031-681240-4, 031-681701-3, 031-685207-9",031-682137,"accessories@kdsgroup.net, manjure.khuda@kdsgroup.net",http://www.kdsaccessories.com,Manjure Khuda,01777775343,"031-681701-3, 031-685207-9, Ext-152",manjure.khuda@kdsgroup.net
Keya Cosmetics Ltd.,KEYACOSMET,6.50,6.50,3:45 PM,6.40 - 6.60,0,18.57,0.00%,6.40 - 11.20,6.50,"2,860,842.00",6.50,540,6.50,"7,165.063","15,000.00",,"11,023.20",Equity,10.0,1,"1,102,317,325",Pharmaceuticals & Chemicals,"Jarun, Konabari, Gazipur.","01751 787781, '01998 008511",9297778,keyacosmetics@keya-bd.com,http://www.keyagroupbd.com,Md. Noor Hossain,01712675421,,noorhossain@keya-bd.com
Kohinoor Chemicals Company (Bangladesh) Ltd.,KOHINOOR,380.00,380.00,3:45 PM,375.00 - 382.50,1.7,5.01,0.45%,361.30 - 549.00,376.50,"13,232.00",378.30,219,378.30,"9,658.325",500.00,,255.31,Equity,10.0,1,"25,530,863",Pharmaceuticals & Chemicals,"Orion House, 153-154 Tejgaon I/ArnDhaka-1208","+88028870146, +88028870133",+88028870130 +88028891523,-,http://www.kohinoor-bd.com,"Mohd. Shamim Kabir, FCMA",01711402522,"8891267-70, Ext-251",shamim.accounts@kccl-bd.com
Khulna Power Company Limited,KPCL,27.00,27.00,3:45 PM,27.00 - 27.00,-0.5,3.48,-1.82%,26.40 - 52.50,27.00,"128,756.00",27.50,138,27.50,"10,928.862","7,000.00",,"3,974.13",Equity,10.0,1,"397,413,179",Fuel & Power,"Landmark (3rd Floor), 12-14 Gulshan North C/A, Gulshan-2, Dhaka-1212","58810932, 58810892, 58810868, 9844217",+88 - 02 - 9843989,"kpcl@khulnapower.com , share.kpcl@khulnapower.com",http://www.khulnapower.com,Md. Mozammel Hossain,+88 01841403333,"58810932, 58810892, 58810868, 9844217 Ext. 25",mozammel@khulnapower.com
Khulna Printing & Packaging Limited,KPPL,9.00,9.00,3:45 PM,9.00 - 9.10,-0.1,1.96,-1.10%,8.20 - 17.80,9.00,"217,195.00",9.10,114,9.10,664.664,"1,000.00","18 Aug, 2014",730.40,Equity,10.0,1,"73,040,000",Paper & Printing,"Khulna mongla road, Katakhali, Shambagath, Post: lockpur, PS: Fakirhat, Dist: Bagerhat, Khulna.","02222221176, 0466356016-7,0466356016-7",02222221176,kppl_07@yahoo.com,http://www.lockpurgroup.org,Md. Milan Khan,01733909666,,mdmilankhan12@gmail.com
Kattali Textile Limited,KTL,22.30,22.30,3:45 PM,22.30 - 23.00,-0.4,78.70,-1.76%,22.30 - 41.80,22.30,"3,521,120.00",22.70,"1,647",22.70,"2,640.128","1,500.00","12 Nov, 2018","1,163.05",Equity,10.0,1,"116,305,200",Textile,"BM Heights (8th Floor), 318, Sk. Mujib Road, Badamtali, Agrabad, Chattogram.","031-2511654, 031-2770044",031-2511654,ktltd1947@gmail.com,http://www.ktlbd.com,Sattabrata Das,01726735408,031-2511654,sattal3514@gmail.com
LankaBangla Finance Ltd.,LANKABAFIN,26.10,26.10,3:45 PM,25.40 - 26.30,0.2,26.66,0.77%,25.40 - 47.50,25.70,"1,038,400.00",25.90,579,25.90,"13,955.920","10,000.00",,"5,388.39",Equity,10.0,1,"538,838,623",Financial Institutions,"Safura Tower (Level-11), 20 Kemal Ataturk Avenue,  Banani, Dhaka-1213",+88 02 222283701-10,+88 02 58810998,mostafa@lankabangla.com,http://www.lankabangla.com,Mostafa Kamal FCA,+88 013137 95833,+88 02 222283701-10 (Ext. 404),mostafa@lankabangla.com
